OKRES,OBEC,OKRSEK,PROP_MAE,OKRSEK_POC_HLASU,url_ps2021,url_ps2025
2106,534978,1,1.86,346,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2106/534978_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2106/534978_1.json
5302,557064,3015,1.86,377,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5302/557064_3015.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5302/557064_3015.json
2102,531057,13,1.86,420,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2102/531057_13.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2102/531057_13.json
5301,571962,1,1.86,440,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5301/571962_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5301/571962_1.json
3206,541150,1,1.86,460,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3206/541150_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3206/541150_1.json
5302,574716,1010,1.86,467,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5302/574716_1010.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5302/574716_1010.json
3106,551970,2,1.86,501,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3106/551970_2.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3106/551970_2.json
3101,544256,61,1.86,529,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3101/544256_61.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3101/544256_61.json
7204,585866,1,1.86,582,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7204/585866_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7204/585866_1.json
6202,551147,11005,1.86,608,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6202/551147_11005.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6202/551147_11005.json
3101,544981,2,1.86,617,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3101/544981_2.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3101/544981_2.json
6205,586722,5,1.86,621,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6205/586722_5.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6205/586722_5.json
8104,599191,22,1.86,657,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8104/599191_22.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8104/599191_22.json
8106,510882,1,1.86,1162,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8106/510882_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8106/510882_1.json
8102,569631,1,1.86,1204,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8102/569631_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8102/569631_1.json
2111,540129,3,1.87,109,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2111/540129_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2111/540129_3.json
5204,576743,1,1.87,143,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5204/576743_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5204/576743_1.json
5303,580694,2,1.87,152,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5303/580694_2.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5303/580694_2.json
2101,529940,1,1.87,213,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2101/529940_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2101/529940_1.json
7104,569542,1,1.87,280,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7104/569542_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7104/569542_1.json
6104,591581,1,1.87,304,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6104/591581_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6104/591581_1.json
6101,569291,1,1.87,377,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6101/569291_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6101/569291_1.json
7105,540919,1,1.87,450,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7105/540919_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7105/540919_1.json
5302,574716,1013,1.87,460,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5302/574716_1013.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5302/574716_1013.json
6101,568414,15,1.87,504,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6101/568414_15.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6101/568414_15.json
7102,500496,55,1.87,522,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7102/500496_55.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7102/500496_55.json
7102,500496,65,1.87,553,https://www.volby.cz/appdata/ps2021/vysled/okrsek/7102/500496_65.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/7102/500496_65.json
